"Sector","Total Impact","Impact (%)","Relative Share (%)"
"personal_labor_income_taxes","0.056214","+5.6214%","38.04%"
"real_activity","-0.044524","-4.4524%","29.25%"
"capital_markets","-0.017187","-1.7187%","11.15%"
"corporate_business_tax","0.011029","+1.1029%","7.21%"
"real_estate","0.008817","+0.8817%","5.87%"
"labor","-0.004956","-0.4956%","3.27%"
"FX_liqudity","-0.001191","-0.1191%","1.00%"
"consumption_tax","0.000609","+0.0609%","3.45%"
"import_trade_tax","-0.000218","-0.0218%","0.76%"
