"date","Sun","Mon","Tue","Wed","Thu","Fri"
1990-01-31,0.0338983050847458,-0.983050847457627,1.06779661016949,0.983050847457627,-0.0338983050847458,0.0169491525423729
1990-02-28,0.0847457627118644,0.0169491525423729,0.152542372881356,0.0169491525423729,0.0847457627118644,0.220338983050847
1990-03-31,-2.32203389830508,-0.949152542372881,-0.372881355932203,-0.966101694915254,0.593220338983051,0.169491525423729
1990-04-30,1.15254237288136,-2.32203389830508,-1.20338983050847,0.796610169491525,0.898305084745763,0.542372881355932
1990-05-31,0.305084745762712,0.254237288135593,1.30508474576271,-0.372881355932203,1.42372881355932,0.389830508474576
1990-06-30,-0.711864406779661,-0.88135593220339,-0.949152542372881,-0.694915254237288,-2.93220338983051,0.220338983050847
1990-07-31,1.42372881355932,0.966101694915254,-0.728813559322034,0,0.254237288135593,-0.0169491525423729
1990-08-31,0.423728813559322,0.0169491525423729,0.372881355932203,1.01694915254237,1.23728813559322,1
1990-09-30,0.76271186440678,0.0508474576271187,0.322033898305085,-0.288135593220339,-1.96610169491525,-4.06779661016949
1990-10-31,0.288135593220339,2.1864406779661,1.72881355932203,1.42372881355932,-2.83050847457627,0.372881355932203
1990-11-30,0,0,0.0169491525423729,0.0169491525423729,1,0.983050847457627
1990-12-31,0.0169491525423729,0.0169491525423729,-1.01694915254237,-0.966101694915254,-0.966101694915254,-0.915254237288136
1991-01-31,0.0338983050847458,0.0169491525423729,-0.932203389830508,0.983050847457627,0.966101694915254,0.0169491525423729
1991-02-28,0.0847457627118644,0.0169491525423729,0.152542372881356,0.0169491525423729,-1.91525423728814,0.220338983050847
1991-03-31,0.677966101694915,-0.949152542372881,-0.372881355932203,-0.966101694915254,-0.406779661016949,0.169491525423729
1991-04-30,0.152542372881356,1.67796610169492,1.79661016949153,0.796610169491525,-1.10169491525424,-1.45762711864407
1991-05-31,-1.69491525423729,0.254237288135593,0.305084745762712,1.6271186440678,1.42372881355932,1.38983050847458
1991-06-30,0.288135593220339,-0.88135593220339,-0.949152542372881,-0.694915254237288,-0.932203389830508,-0.779661016949153
1991-07-31,-1.57627118644068,0.966101694915254,1.27118644067797,1,0.254237288135593,-0.0169491525423729
1991-08-31,-0.576271186440678,-0.983050847457627,-0.627118644067797,-0.983050847457627,0.23728813559322,0
1991-09-30,1.76271186440678,-3.94915254237288,-2.67796610169492,-1.28813559322034,1.03389830508475,0.932203389830508
1991-10-31,0.288135593220339,1.1864406779661,1.72881355932203,1.42372881355932,2.16949152542373,0.372881355932203
1991-11-30,-1,-1,-0.983050847457627,-0.983050847457627,-1,-0.0169491525423729
1991-12-31,1.01694915254237,1.01694915254237,0.983050847457627,0.0338983050847458,0.0338983050847458,0.0847457627118644
1992-01-31,0.0338983050847458,0.0169491525423729,0.0677966101694915,-1.01694915254237,0.966101694915254,1.01694915254237
1992-02-29,-0.915254237288136,-0.983050847457627,-0.847457627118644,-0.983050847457627,-0.915254237288136,-0.779661016949153
1992-03-31,1.67796610169492,1.05084745762712,1.6271186440678,0.0338983050847458,-1.40677966101695,0.169491525423729
1992-04-30,0.152542372881356,0.677966101694915,0.796610169491525,1.79661016949153,1.89830508474576,-1.45762711864407
1992-05-31,0.305084745762712,-0.745762711864407,-0.694915254237288,-0.372881355932203,-2.57627118644068,0.389830508474576
1992-06-30,-1.71186440677966,1.11864406779661,-0.949152542372881,0.305084745762712,0.0677966101694915,0.220338983050847
1992-07-31,0.423728813559322,-0.0338983050847458,0.271186440677966,1,1.25423728813559,0.983050847457627
1992-08-31,-1.57627118644068,0.0169491525423729,-0.627118644067797,-0.983050847457627,-0.76271186440678,-1
1992-09-30,0.76271186440678,-0.949152542372881,0.322033898305085,1.71186440677966,1.03389830508475,0.932203389830508
1992-10-31,-0.711864406779661,-3.8135593220339,-2.27118644067797,-2.57627118644068,1.16949152542373,0.372881355932203
1992-11-30,1,1,0.0169491525423729,0.0169491525423729,0,-0.0169491525423729
1992-12-31,0.0169491525423729,0.0169491525423729,0.983050847457627,1.03389830508475,1.03389830508475,0.0847457627118644
1993-01-31,0.0338983050847458,-0.983050847457627,-0.932203389830508,-1.01694915254237,-1.03389830508475,-1.98305084745763
1993-02-28,0.0847457627118644,0.0169491525423729,0.152542372881356,0.0169491525423729,0.0847457627118644,0.220338983050847
1993-03-31,-1.32203389830508,1.05084745762712,1.6271186440678,1.03389830508475,0.593220338983051,0.169491525423729
1993-04-30,0.152542372881356,-3.32203389830508,-1.20338983050847,0.796610169491525,1.89830508474576,1.54237288135593
1993-05-31,0.305084745762712,0.254237288135593,-0.694915254237288,-2.3728813559322,-0.576271186440678,-0.610169491525424
1993-06-30,0.288135593220339,0.11864406779661,1.05084745762712,1.30508474576271,0.0677966101694915,0.220338983050847
1993-07-31,-0.576271186440678,-1.03389830508475,-2.72881355932203,-1,0.254237288135593,-0.0169491525423729
1993-08-31,1.42372881355932,1.01694915254237,1.3728813559322,0.0169491525423729,0.23728813559322,0
1993-09-30,0.76271186440678,1.05084745762712,1.32203389830508,1.71186440677966,-1.96610169491525,-3.06779661016949
1993-10-31,0.288135593220339,0.186440677966102,-0.271186440677966,-0.576271186440678,-1.83050847457627,0.372881355932203
1993-11-30,0,1,1.01694915254237,0.0169491525423729,0,-0.0169491525423729
1993-12-31,0.0169491525423729,0.0169491525423729,-0.0169491525423729,1.03389830508475,1.03389830508475,1.08474576271186
1994-01-31,0.0338983050847458,0.0169491525423729,-0.932203389830508,-1.01694915254237,-1.03389830508475,-0.983050847457627
